"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10500,"Mia@NO 08:00PM ET",49.868,"NO"
"SG","James Harden",8900,"Hou@SA 08:30PM ET",49.923,"Hou"
"C","Andre Drummond",8200,"Atl@Det 07:30PM ET",37.274,"Det"
"PG","John Wall",7800,"Was@Tor 07:30PM ET",42.584,"Was"
"PG","Reggie Jackson",7700,"Atl@Det 07:30PM ET",30.289,"Det"
"C","Nikola Vucevic",7600,"Mem@Orl 07:00PM ET",38.804,"Orl"
"C","Marc Gasol",7400,"Mem@Orl 07:00PM ET",38.014,"Mem"
"PG","Kyle Lowry",7200,"Was@Tor 07:30PM ET",36.811,"Tor"
"SG","Jimmy Butler",7200,"Dal@Chi 08:00PM ET",37.474,"Chi"
"PF","Greg Monroe",7200,"Mil@Min 08:00PM ET",34.681,"Mil"
"PF","Paul Millsap",7100,"Atl@Det 07:30PM ET",36.154,"Atl"
"PF","Nerlens Noel",7100,"Phi@Bos 07:30PM ET",29.383,"Phi"
"PF","Pau Gasol",7000,"Dal@Chi 08:00PM ET",41.139,"Chi"
"SF","Kawhi Leonard",7000,"Hou@SA 08:30PM ET",35.637,"SA"
"SG","Victor Oladipo",7000,"Mem@Orl 07:00PM ET",32.424,"Orl"
"PF","LaMarcus Aldridge",6900,"Hou@SA 08:30PM ET",42.434,"SA"
"C","Al Horford",6900,"Atl@Det 07:30PM ET",33.440,"Atl"
"PF","Zach Randolph",6800,"Mem@Orl 07:00PM ET",33.957,"Mem"
"C","Dwight Howard",6800,"Hou@SA 08:30PM ET",36.720,"Hou"
"PG","Michael Carter-Williams",6800,"Mil@Min 08:00PM ET",33.854,"Mil"
"SG","Tyreke Evans",6700,"Mia@NO 08:00PM ET",35.380,"NO"
"SG","DeMar DeRozan",6600,"Was@Tor 07:30PM ET",33.438,"Tor"
"PF","Chris Bosh",6500,"Mia@NO 08:00PM ET",36.011,"Mia"
"SF","Andrew Wiggins",6500,"Mil@Min 08:00PM ET",28.238,"Min"
"SF","Trevor Ariza",6400,"Hou@SA 08:30PM ET",28.323,"Hou"
"PG","Jeff Teague",6400,"Atl@Det 07:30PM ET",33.340,"Atl"
"PG","Isaiah Thomas",6400,"Phi@Bos 07:30PM ET",27.665,"Bos"
"PG","Mike Conley",6300,"Mem@Orl 07:00PM ET",29.853,"Mem"
"PG","Ty Lawson",6300,"Hou@SA 08:30PM ET",36.027,"Hou"
"C","Marcin Gortat",6200,"Was@Tor 07:30PM ET",28.709,"Was"
"PG","Derrick Rose",6200,"Dal@Chi 08:00PM ET",32.012,"Chi"
"SF","Tobias Harris",6200,"Mem@Orl 07:00PM ET",30.882,"Orl"
"SG","Bradley Beal",6200,"Was@Tor 07:30PM ET",29.493,"Was"
"SG","Dwyane Wade",6100,"Mia@NO 08:00PM ET",34.770,"Mia"
"PG","Deron Williams",6100,"Dal@Chi 08:00PM ET",29.426,"Dal"
"C","Hassan Whiteside",6100,"Mia@NO 08:00PM ET",30.885,"Mia"
"PF","Nikola Mirotic",6100,"Dal@Chi 08:00PM ET",19.935,"Chi"
"PF","Tim Duncan",6000,"Hou@SA 08:30PM ET",35.851,"SA"
"C","Joakim Noah",6000,"Dal@Chi 08:00PM ET",29.082,"Chi"
"SG","Khris Middleton",6000,"Mil@Min 08:00PM ET",25.909,"Mil"
"PG","Elfrid Payton",6000,"Mem@Orl 07:00PM ET",27.058,"Orl"
"SG","Evan Turner",5900,"Phi@Bos 07:30PM ET",25.860,"Bos"
"SF","Chandler Parsons",5900,"Dal@Chi 08:00PM ET",28.369,"Dal"
"PF","Terrence Jones",5900,"Hou@SA 08:30PM ET",24.045,"Hou"
"PF","Dirk Nowitzki",5800,"Dal@Chi 08:00PM ET",30.241,"Dal"
"C","Jonas Valanciunas",5800,"Was@Tor 07:30PM ET",26.452,"Tor"
"SF","Giannis Antetokounmpo",5700,"Mil@Min 08:00PM ET",27.948,"Mil"
